Actual,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,All
30,2,0,2,0,3,1,5,2,3,10,8,1,18,7,0,6,1,1,2,2,6,11,0,8,2,1,2,6,0,2,793,2,1,0,5,0,18,37,1,3,13,4,2,8,0,1,0,0,0,1000
31,0,0,0,6,0,1,3,3,4,7,1,1,0,0,1,0,0,1,0,4,1,0,2,1,0,4,0,7,0,0,0,420,0,3,2,1,1,3,3,0,1,3,3,3,0,2,0,6,0,498
32,0,0,0,1,1,1,0,0,0,0,2,0,3,5,1,0,4,0,5,1,2,1,0,3,0,0,3,0,0,0,0,0,235,0,2,5,0,2,1,0,0,0,0,1,0,0,0,1,0,280
33,6,2,0,10,1,6,14,1,3,2,0,0,1,2,6,0,0,3,2,3,1,2,3,0,6,1,0,4,0,0,3,7,0,420,3,2,3,1,0,0,0,8,10,5,2,7,1,1,0,552
34,3,1,2,2,1,4,5,3,2,2,0,0,1,9,3,1,3,1,4,11,1,0,0,2,1,3,0,1,0,2,7,4,0,0,870,1,5,4,1,5,12,6,1,9,1,0,1,1,4,1000
35,0,0,0,3,6,0,5,2,12,3,2,1,9,16,2,3,1,2,3,3,16,0,0,10,0,0,3,5,9,4,3,1,1,4,1,782,14,3,0,1,11,12,6,3,2,21,2,13,0,1000
36,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,3,0,0,0,0,0,5,0,1,1,0,0,0,2,0,0,1,0,3,237,0,0,0,0,0,0,0,0,0,1,0,0,260
37,3,0,1,1,0,0,0,0,0,5,0,2,1,0,1,0,0,0,0,2,2,5,0,1,0,1,0,4,0,0,2,3,0,0,0,0,0,960,0,0,1,0,1,2,0,0,0,0,2,1000
38,1,1,16,3,2,3,9,4,0,8,0,26,1,1,1,2,21,2,1,2,1,2,0,6,0,2,1,3,0,0,3,8,0,0,2,1,1,20,809,2,9,3,5,3,0,0,0,0,15,1000
39,7,1,9,1,1,24,5,2,6,1,0,1,12,17,9,2,12,6,16,6,7,2,0,3,3,0,1,4,0,2,8,4,1,6,9,1,2,7,15,745,7,9,3,16,1,1,3,1,1,1000
40,3,0,3,2,2,26,11,1,2,1,6,0,4,3,1,6,3,1,0,2,22,10,0,15,4,4,2,2,1,4,19,4,2,1,3,12,5,6,7,3,754,11,9,1,3,11,1,1,6,1000
41,1,2,0,1,11,0,22,0,1,0,2,1,2,5,0,0,0,18,1,7,4,1,4,42,6,0,0,4,1,1,4,0,0,1,4,0,1,1,0,1,2,813,10,6,0,4,2,14,0,1000
42,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,8,0,1,0,7,0,0,1,2,0,0,1,0,1,0,1,0,1,3,310,0,0,0,0,0,0,348
43,3,2,0,1,5,2,3,0,1,0,3,1,1,1,0,0,3,6,1,0,0,6,0,3,2,0,0,0,0,1,1,3,5,1,1,0,2,1,5,1,0,1,0,323,1,0,0,0,0,390
44,1,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,3,0,1,0,0,1,0,0,1,0,2,0,1,0,0,0,0,1,2,0,2,0,46,0,0,0,0,68
45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,54,0,1,0,64
46,1,0,0,1,3,0,22,0,6,1,0,0,12,14,8,1,0,2,0,4,14,0,0,5,4,1,1,1,1,5,6,2,5,0,1,9,18,0,1,1,10,6,2,0,0,4,816,11,1,1000
47,0,0,0,5,0,0,0,8,1,0,0,1,0,0,0,0,0,1,2,0,2,0,2,0,2,0,0,0,1,1,0,2,0,0,1,0,0,1,0,0,5,3,1,1,0,0,0,960,0,1000
48,0,0,1,9,0,0,0,43,0,4,0,13,0,0,0,1,1,0,1,2,0,2,0,1,1,0,0,7,3,0,0,3,0,0,4,1,0,7,18,2,4,0,0,1,0,1,0,0,444,574
All,926,1002,1037,220,980,936,1179,1006,779,990,921,852,908,765,614,854,509,973,1054,960,986,923,273,671,916,784,762,963,921,376,979,568,342,492,1026,923,415,1203,948,809,979,1010,506,487,96,210,895,1085,534,38547
